[Info] device: cuda
[Info] cfg saved: /mnt/synology/wen.zhou/2026.05/Coordinate_Attention/output/run_config.json
[Info] coord_attn: ON | coord_reduction: 32
[Info] agent_attn: ON | agent_bias: ON | agent_tokens: 16 | heads: 8
[Info] attn_order: coord_then_agent
[Train][Epoch 1/100][Iter 50/178] lr=0.025000, loss=1.22322, top1=0.75000, top2=0.93750, top4=1.00000
[Train][Epoch 1/100][Iter 51/178] lr=0.025000, loss=1.19930, top1=0.75000, top2=0.93750, top4=1.00000
[Train][Epoch 1/100][Iter 52/178] lr=0.025000, loss=2.88760, top1=0.68750, top2=0.81250, top4=1.00000
[Train][Epoch 1/100][Iter 53/178] lr=0.025000, loss=0.67888, top1=0.93750, top2=1.00000, top4=1.00000
[Train][Epoch 1/100][Iter 54/178] lr=0.025000, loss=2.99897, top1=0.56250, top2=0.75000, top4=1.00000
[Train][Epoch 1/100][Iter 55/178] lr=0.025000, loss=0.69261, top1=0.75000, top2=1.00000, top4=1.00000
[Train][Epoch 1/100][Iter 56/178] lr=0.025000, loss=2.73603, top1=0.62500, top2=0.75000, top4=1.00000
[Train][Epoch 1/100][Iter 57/178] lr=0.025000, loss=4.59060, top1=0.50000, top2=0.75000, top4=1.00000
[Train][Epoch 1/100][Iter 58/178] lr=0.025000, loss=2.48675, top1=0.43750, top2=0.81250, top4=1.00000
[Train][Epoch 1/100][Iter 59/178] lr=0.025000, loss=1.02960, top1=0.81250, top2=0.87500, top4=1.00000
[Train][Epoch 1/100][Iter 60/178] lr=0.025000, loss=1.23267, top1=0.75000, top2=0.93750, top4=1.00000
