[Info] device: cuda
[Info] cfg saved: /mnt/synology/wen.zhou/2026.05/Coordinate_Attention/output/run_config.json
[Info] coord_attn: ON | coord_reduction: 32
[Info] agent_attn: ON | agent_bias: ON | agent_tokens: 16 | heads: 8
[Info] attn_order: coord_then_agent
[Train][Epoch 1/100][Iter 0/178] lr=0.025000, loss=1.62967, top1=0.25000, top2=0.56250, top4=1.00000
[Train][Epoch 1/100][Iter 1/178] lr=0.025000, loss=4.09986, top1=0.37500, top2=0.56250, top4=1.00000
[Train][Epoch 1/100][Iter 2/178] lr=0.025000, loss=2.55564, top1=0.12500, top2=0.25000, top4=1.00000
[Train][Epoch 1/100][Iter 3/178] lr=0.025000, loss=2.80740, top1=0.50000, top2=0.75000, top4=1.00000
[Train][Epoch 1/100][Iter 4/178] lr=0.025000, loss=4.17345, top1=0.50000, top2=0.56250, top4=1.00000
[Train][Epoch 1/100][Iter 5/178] lr=0.025000, loss=0.35998, top1=0.93750, top2=1.00000, top4=1.00000
[Train][Epoch 1/100][Iter 6/178] lr=0.025000, loss=0.74584, top1=0.87500, top2=1.00000, top4=1.00000
[Train][Epoch 1/100][Iter 7/178] lr=0.025000, loss=0.51804, top1=0.87500, top2=1.00000, top4=1.00000
[Train][Epoch 1/100][Iter 8/178] lr=0.025000, loss=1.43471, top1=0.75000, top2=0.87500, top4=1.00000
[Train][Epoch 1/100][Iter 9/178] lr=0.025000, loss=0.79190, top1=0.68750, top2=1.00000, top4=1.00000
[Train][Epoch 1/100][Iter 10/178] lr=0.025000, loss=0.02630, top1=1.00000, top2=1.00000, top4=1.00000
[Train][Epoch 1/100][Iter 11/178] lr=0.025000, loss=1.12150, top1=0.75000, top2=0.81250, top4=1.00000
[Train][Epoch 1/100][Iter 12/178] lr=0.025000, loss=3.66666, top1=0.62500, top2=0.75000, top4=1.00000
[Train][Epoch 1/100][Iter 13/178] lr=0.025000, loss=1.14176, top1=0.56250, top2=0.93750, top4=1.00000
[Train][Epoch 1/100][Iter 14/178] lr=0.025000, loss=2.80666, top1=0.62500, top2=0.75000, top4=1.00000
[Train][Epoch 1/100][Iter 15/178] lr=0.025000, loss=7.85004, top1=0.37500, top2=0.56250, top4=1.00000
[Train][Epoch 1/100][Iter 16/178] lr=0.025000, loss=2.16437, top1=0.62500, top2=0.81250, top4=1.00000
[Train][Epoch 1/100][Iter 17/178] lr=0.025000, loss=1.82691, top1=0.56250, top2=1.00000, top4=1.00000
[Train][Epoch 1/100][Iter 18/178] lr=0.025000, loss=2.34463, top1=0.37500, top2=0.62500, top4=1.00000
[Train][Epoch 1/100][Iter 19/178] lr=0.025000, loss=3.69036, top1=0.56250, top2=0.68750, top4=1.00000
[Train][Epoch 1/100][Iter 20/178] lr=0.025000, loss=0.88483, top1=0.81250, top2=0.93750, top4=1.00000
[Train][Epoch 1/100][Iter 21/178] lr=0.025000, loss=6.52128, top1=0.37500, top2=0.68750, top4=1.00000
[Train][Epoch 1/100][Iter 22/178] lr=0.025000, loss=5.92831, top1=0.37500, top2=0.43750, top4=1.00000
[Train][Epoch 1/100][Iter 23/178] lr=0.025000, loss=2.74559, top1=0.37500, top2=0.75000, top4=1.00000
